"filename", "language", "JavaScript", "JSON", "JSON with Comments", "TypeScript", "XML", "Markdown", "TypeScript JSX", "MS SQL", "PostCSS", "comment", "blank", "total"
"d:\PROJECTS\SELF PROJECT\kombinara\.eslintrc.json", "JSON with Comments", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"d:\PROJECTS\SELF PROJECT\kombinara\README.md", "Markdown", 0, 0, 0, 0, 0, 177, 0, 0, 0, 0, 64, 241
"d:\PROJECTS\SELF PROJECT\kombinara\docs\decisions.md", "Markdown", 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 37, 74
"d:\PROJECTS\SELF PROJECT\kombinara\next-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 2, 6
"d:\PROJECTS\SELF PROJECT\kombinara\next.config.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 22
"d:\PROJECTS\SELF PROJECT\kombinara\package-lock.json", "JSON", 0, 10015, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10016
"d:\PROJECTS\SELF PROJECT\kombinara\package.json", "JSON", 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 1, 60
"d:\PROJECTS\SELF PROJECT\kombinara\postcss.config.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"d:\PROJECTS\SELF PROJECT\kombinara\prisma\migrations\manual\add_hash_password.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 3
"d:\PROJECTS\SELF PROJECT\kombinara\prisma\migrations\manual\add_user_profil_fields.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 1, 5
"d:\PROJECTS\SELF PROJECT\kombinara\prisma\migrations\manual\create_leaderboard_mv.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 36, 0, 8, 6, 50
"d:\PROJECTS\SELF PROJECT\kombinara\prisma\seed.ts", "TypeScript", 0, 0, 0, 86, 0, 0, 0, 0, 0, 8, 13, 107
"d:\PROJECTS\SELF PROJECT\kombinara\public\images\peta-konsep.svg", "XML", 0, 0, 0, 0, 4, 0, 0, 0, 0, 1, 0, 5
"d:\PROJECTS\SELF PROJECT\kombinara\src\app\(auth)\complete-profil\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 252, 0, 0, 10, 30, 292
"d:\PROJECTS\SELF PROJECT\kombinara\src\app\(auth)\forgot-password\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 87, 0, 0, 0, 9, 96
"d:\PROJECTS\SELF PROJECT\kombinara\src\app\(auth)\join\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 75, 0, 0, 0, 10, 85
"d:\PROJECTS\SELF PROJECT\kombinara\src\app\(auth)\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 2, 25
"d:\PROJECTS\SELF PROJECT\kombinara\src\app\(auth)\login\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 169, 0, 0, 1, 22, 192
"d:\PROJECTS\SELF PROJECT\kombinara\src\app\(auth)\reset-password\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 153, 0, 0, 0, 16, 169
"d:\PROJECTS\SELF PROJECT\kombinara\src\app\(auth)\signup\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 224, 0, 0, 1, 24, 249
"d:\PROJECTS\SELF PROJECT\kombinara\src\app\(dashboard)\guru\kelas\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 1, 5
"d:\PROJECTS\SELF PROJECT\kombinara\src\app\(dashboard)\guru\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 3, 0, 0, 4, 1, 8
"d:\PROJECTS\SELF PROJECT\kombinara\src\app\(dashboard)\guru\settings\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 3, 0, 0, 6, 1, 10
